Id,Label,timeset,componentnumber,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1878,"Liu,Xin",,33,5,5,0.320755,0.490196,0
317,UksongKang,,32,23,1,1,1,0
1552,A.Schuster,,206,2,1,1,1,0
197,"Liao,Xiaofei",,2,5,5,0.3,0.399573,0
40,N.Zhao,,1,8,11,0.17385,0.20392,0.000005
72,Z.Wang,,1,11,10,0.185938,0.221514,0.001839
1629,K.Ota,,1,5,12,0.17821,0.213272,0.000114
1603,Z.Guorong,,159,3,1,1,1,0
996,HaiJin,,169,9,1,1,1,0.000014
616,J.Yu,,1,4,10,0.195002,0.221663,0.000537
1256,Z.Kong,,1,7,8,0.226128,0.257548,0.001599
1911,"Verma,Akshat",,6,4,1,1,1,0
1921,"Chien,AndrewA.",,29,4,1,1,1,0
1523,"Pletka,R.A.",,218,1,1,1,1,0
50,ZhiyangDing,,1,6,12,0.142217,0.161241,0
902,"Jung,Myoungsoo",,77,2,1,1,1,0
48,A.Manzanares,,1,6,12,0.142217,0.161241,0
1979,VíctorMéndez,,167,3,1,1,1,0
696,"Lv,Yanfei",,160,4,1,1,1,0
623,Z.Ming,,1,2,11,0.191858,0.229016,0
1809,"Lee,Bitna",,98,3,1,1,1,0
921,"Whang,Kyu-Young",,168,2,1,1,1,0
748,M.Wang,,182,1,1,1,1,0
1686,M.Lin,,1,4,11,0.187549,0.220175,0.002377
267,"Hoseinzadeh,Morteza",,20,9,2,0.655172,0.736842,0
1669,"Bolt,R.T.",,123,8,1,1,1,0
1161,"Bhat,Adithya",,170,5,2,0.857143,0.916667,0
699,"Chen,Xuexuan",,160,4,1,1,1,0
1167,"Liu,Baoan",,221,3,1,1,1,0
1291,"Yan,Cairong",,59,3,1,1,1,0
1452,"Song,Ye-Qiong",,96,2,1,1,1,0
1023,S.Oikawa,,195,1,1,1,1,0
3,J.Yin,,1,10,11,0.182375,0.22284,0.000909
1385,Q.Xu,,14,2,1,1,1,0
368,K.Park,,1,24,10,0.177944,0.241639,0.000071
2001,"Morjan,Peter",,91,14,1,1,1,0
974,H.Hu,,1,6,12,0.183288,0.219109,0.000073
223,"Ge,Xiongzi",,41,9,1,1,1,0.000014
1248,T.Cortes,,58,7,1,1,1,0.000007
2081,"Liu,Xiaodong",,130,4,1,1,1,0
958,LinpengHuang,,173,3,1,1,1,0
1477,"Yu’an,T.",,132,6,1,1,1,0
262,ShuigengZhou,,84,3,1,1,1,0
221,"Yue,Lihua",,47,9,1,1,1,0.000007
416,B.He,,1,11,11,0.209969,0.262624,0.003841
394,K.Zhu,,1,3,12,0.131419,0.148369,0
1519,MengchaoXu,,145,7,1,1,1,0
516,"Won,Youjip",,117,3,1,1,1,0
1510,"Hsu,Yarsun",,214,2,1,1,1,0
1893,Z.Fan,,194,3,1,1,1,0
794,R.Chen,,1,10,11,0.19002,0.228958,0.002029
1359,Y.Huang,,1,4,9,0.213071,0.243505,0.001288
1169,"Li,Bing",,221,3,1,1,1,0
1295,"Yang,RobinJun",,131,1,1,1,1,0
346,C.Kim,,1,24,10,0.177944,0.241639,0.000071
1996,"Biddiscombe,John",,91,14,1,1,1,0
773,"Wu,Weiguo",,15,6,1,1,1,0
1940,XinhuaDong,,0,6,1,1,1,0
928,"Kim,Jin-Soo",,107,2,1,1,1,0
243,P.Zeng,,1,6,12,0.163799,0.188824,0
723,F.Wu,,1,3,11,0.166783,0.189895,0.000208
1052,H.Nakada,,1,3,14,0.112609,0.125105,0
1156,WoochulKang,,42,1,1,1,1,0
167,D.Shankar,,99,7,1,1,1,0.000003
71,Z.Lu,,1,5,11,0.163855,0.189442,0
212,"Youn,Young-Sun",,163,3,1,1,1,0
1003,"Xue,Fei",,222,3,1,1,1,0
39,J.Wan,,1,8,11,0.17385,0.20392,0.000005
1535,D.Donofrio,,1,4,10,0.156373,0.180894,0.000424
1235,D.Milojicic,,1,5,12,0.138252,0.156138,0
1267,B.Guan,,1,7,13,0.130268,0.151717,0
1138,"Ming-Tat,Wong",,30,3,1,1,1,0
1252,K.Davis,,1,3,11,0.191858,0.225895,0.000287
466,Y.Xu,,1,13,10,0.19326,0.238199,0.002164
439,"Qiu,Ke-Ni",,166,4,1,1,1,0
2173,LeiWang,,87,3,1,1,1,0
1521,TsengdarLee,,145,7,1,1,1,0
68,X.Chen,,1,10,11,0.176101,0.213508,0.001378
116,B.Settlemyer,,1,5,11,0.196613,0.240061,0
1383,"Abid,MohamedRiduan",,25,5,7,0.292857,0.414983,0
1277,J.Xiong,,1,6,10,0.20777,0.247512,0.002276
799,X.Su,,1,4,13,0.14133,0.16114,0
1130,"Tang,Zhen",,52,5,1,1,1,0
1491,YijieWang,,8,2,1,1,1,0
